part,part_var,time,condition,event_var,var
1,-0.9798760490137265,250,vs_right,1.1896881811061466,0.2098121320924201
1,-0.9798760490137265,750,vs_left,-1.7851712129855004,-2.765047261999227
1,-0.9798760490137265,1250,vs_right,4.534944227751318,3.5550681787375913
1,-0.9798760490137265,1750,vs_left,2.3067445088280065,1.3268684598142801
1,-0.9798760490137265,2250,vs_right,-5.6319155866364055,-6.611791635650132
1,-0.9798760490137265,2750,vs_left,-3.1541992703726125,-4.134075319386339
1,-0.9798760490137265,3250,vs_right,0.2527463017078622,-0.7271297473058642
1,-0.9798760490137265,3750,vs_left,1.7071973200653723,0.7273212710516458
1,-0.9798760490137265,4250,vs_right,-4.5031801591468525,-5.483056208160579
1,-0.9798760490137265,4750,vs_left,1.7919677261233722,0.8120916771096457
1,-0.9798760490137265,5250,vs_right,0.786421315749397,-0.1934547332643295
1,-0.9798760490137265,5750,vs_left,1.5540762863053916,0.5742002372916651
1,-0.9798760490137265,6250,vs_right,0.548858609875411,-0.4310174391383155
1,-0.9798760490137265,6750,vs_left,2.420278331312899,1.4404022822991727
1,-0.9798760490137265,7250,vs_right,-0.5380689343532212,-1.5179449833669478
1,-0.9798760490137265,7750,vs_left,2.5876042814357323,1.607728232422006
1,-0.9798760490137265,8250,vs_right,0.9793108302226756,-0.0005652187910508699
1,-0.9798760490137265,8750,vs_left,-1.481584174352917,-2.4614602233666436
1,-0.9798760490137265,9250,vs_right,-0.027654676153658925,-1.0075307251673855
1,-0.9798760490137265,9750,vs_left,-2.594588099049973,-3.5744641480636994
1,-0.9798760490137265,10250,vs_right,0.25251349205678636,-0.7273625569569402
1,-0.9798760490137265,10750,vs_left,-0.46305630768297334,-1.4429323566966998
1,-0.9798760490137265,11250,vs_right,-2.337686463576461,-3.3175625125901873
1,-0.9798760490137265,11750,vs_left,-1.1797025143963515,-2.159578563410078
1,-0.9798760490137265,12250,vs_right,1.8058723579415712,0.8259963089278447
1,-0.9798760490137265,12750,vs_left,1.4343800351275746,0.4545039861138481
1,-0.9798760490137265,13250,vs_right,-0.4363502116012971,-1.4162262606150235
1,-0.9798760490137265,13750,vs_left,-5.658636633279359,-6.6385126822930856
1,-0.9798760490137265,14250,vs_right,0.411269114721469,-0.5686069342922575
1,-0.9798760490137265,14750,vs_left,8.037581715227931,7.057705666214205
1,-0.9798760490137265,15250,vs_right,4.981630539052187,4.0017544900384605
1,-0.9798760490137265,15750,vs_left,-3.8176425247378702,-4.797518573751597
1,-0.9798760490137265,16250,vs_right,-0.5886232559754866,-1.568499304989213
1,-0.9798760490137265,16750,vs_left,-3.7553203208075225,-4.735196369821249
1,-0.9798760490137265,17250,vs_right,6.1645763529165185,5.184700303902792
1,-0.9798760490137265,17750,vs_left,2.461459551176171,1.4815835021624446
1,-0.9798760490137265,18250,vs_right,2.6483183883888795,1.668442339375153
1,-0.9798760490137265,18750,vs_left,-3.4865801541877612,-4.466456203201488
1,-0.9798760490137265,19250,vs_right,2.9353094296467352,1.9554333806330089
1,-0.9798760490137265,19750,vs_left,4.574065914274073,3.594189865260347
2,-0.8317424540963203,250,vs_right,3.084120310953486,2.2523778568571657
2,-0.8317424540963203,750,vs_left,0.07478932921847663,-0.7569531248778437
2,-0.8317424540963203,1250,vs_right,-3.0298176412696183,-3.8615600953659386
2,-0.8317424540963203,1750,vs_left,1.9962804835995587,1.1645380295032384
